english_word,spanish_word,spanish_meaning_ff,relationship_type,part_of_speech,cultural_domain,first_attestation_english,first_attestation_spanish,jaccard_similarity,levenshtein_similarity,complexity_syllables,complexity_length,complexity_frequency_complexity,complexity_semantic_complexity,complexity_overall_complexity,complexity_syll_component,complexity_freq_component,complexity_semantic_component,complexity_length_component
abortion,aborto,,cognates,noun,health_medicine,1600,1573,0.714,0.75,3,8,2.76,2,48.1,16.6,13.8,5.7,12
abreaction,abreacción,,cognates,noun,emotions_psychology,1900,1928,0.7,0.8,3,10,5.93,1,65,16.6,29.6,4,14.7
abrogation,abrogación,,cognates,noun,government_politics,1500,1685,0.7,0.8,4,10,4.73,1,61.7,19.3,23.7,4,14.7
abscissa,abscisa,,cognates,noun,education_knowledge,1608,1775,1,0.875,3,8,5.46,1,59.9,16.6,27.3,4,12
absence,ausencia,,cognates,noun,emotions_psychology,1325,1542,0.625,0.625,2,7,2.66,4,44.9,13.2,13.3,8,10.4
absolutely,absolutamente,,cognates,adverb,language_communication,1735,1545,0.727,0.615,4,10,2.02,2,49.8,19.3,10.1,5.7,14.7
absorbency,absorbencia,,cognates,noun,technology_tools,1700,1743,0.8,0.818,4,10,5.12,1,63.6,19.3,25.6,4,14.7
abstraction,abstracción,,cognates,noun,education_knowledge,1325,1556,0.8,0.818,3,11,3.7,6,60.8,16.6,18.5,9.8,15.9
abundance,abundancia,,cognates,noun,values_ethics,1325,1542,0.75,0.8,3,9,3.14,3,52.7,16.6,15.7,6.9,13.4
abuse,abuso,,cognates,noun,values_ethics,1600,1545,0.667,0.8,2,5,2.34,7,41.5,13.2,11.7,10.6,6
academic,académico,,cognates,adjective,education_knowledge,1886,1616,0.625,0.778,4,8,2.43,4,51.5,19.3,12.1,8,12
academy,academia,,cognates,noun,education_knowledge,1325,1545,0.714,0.75,4,7,2.43,4,49.9,19.3,12.1,8,10.4
accelerator,acelerador,,cognates,noun,technology_tools,1600,1763,0.75,0.818,5,11,3.58,4,63.3,21.5,17.9,8,15.9
acceptable,aceptable,,cognates,adjective,values_ethics,1325,1545,1,0.9,4,10,2.73,4,55.7,19.3,13.7,8,14.7
acceptation,aceptación,,cognates,noun,language_communication,1325,1542,0.778,0.727,4,11,5.4,3,69.1,19.3,27,6.9,15.9
accesory,asesoría,Consultancy,false_friends,noun,clothing_appearance,1450,1951,0.625,0.5,4,8,5.98,0,61.2,19.3,29.9,0,12
access,acceso,,cognates,noun,other,1600,1545,0.8,0.833,2,6,1.95,8,42.7,13.2,9.8,11.3,8.5
accident,accidente,,cognates,noun,emotions_psychology,1932,1545,1,0.889,3,8,2.29,2,45.7,16.6,11.4,5.7,12
accidental,accidental,,cognates,noun,emotions_psychology,1325,1545,1,1,4,10,3.18,2,55.6,19.3,15.9,5.7,14.7
accordion,acordeón,,cognates,noun,arts_entertainment,1830,1732,0.667,0.667,4,9,3.91,1,56.3,19.3,19.6,4,13.4
accumulation,acumulación,,cognates,noun,economics_commerce,1600,1556,0.7,0.75,5,12,3.41,4,63.5,21.5,17.1,8,17
accumulator,acumulador,,cognates,noun,technology_tools,1600,1768,0.778,0.818,5,11,4.3,3,65.8,21.5,21.5,6.9,15.9
ace,as,,cognates,noun,sports_recreation,1325,1542,0.25,0.333,1,3,2.89,11,36,8.3,14.4,13.3,0
acerbity,acerbidad,,cognates,noun,emotions_psychology,1500,1603,0.667,0.667,2,8,5.9,3,61.6,13.2,29.5,6.9,12
achromatism,acromatismo,,cognates,noun,health_medicine,1708,1799,0.889,0.818,3,11,7,1,71.5,16.6,35,4,15.9
acid,ácido,,cognates,noun,health_medicine,1600,1564,0.5,0.6,2,4,2.55,5,34.9,13.2,12.8,8.9,0
acid jazz,acid jazz,,loanword_en_to_es,noun,arts_entertainment,1987,1991,1,1,3,9,2.93,0,44.7,16.6,14.6,0,13.4
acoustic,acostar,To lie down,false_friends,adjective,technology_tools,1605,1250,0.625,0.625,3,8,3.02,2,49.4,16.6,15.1,5.7,12
acquisition,adquisición,,cognates,noun,economics_commerce,1325,1556,0.636,0.727,4,11,2.74,4,56.9,19.3,13.7,8,15.9
acrobatics,acrobacias,,cognates,noun,arts_entertainment,1859,1874,0.875,0.8,4,10,4.25,2,60.9,19.3,21.2,5.7,14.7
acropolis,acrópolis,,cognates,noun,housing_architecture,1508,1634,0.889,0.889,4,9,4.27,1,58.1,19.3,21.3,4,13.4
act,acto,,cognates,noun,government_politics,1890,1545,0.75,0.75,1,3,1.7,15,32.3,8.3,8.5,15.5,0
actinometer,actinómetro,,cognates,noun,technology_tools,1830,1844,0.9,0.727,3,11,7,1,71.5,16.6,35,4,15.9
actinomycin,actinomicina,,cognates,noun,health_medicine,1940,1879,0.875,0.833,3,11,5.82,1,65.6,16.6,29.1,4,15.9
action,acción,,cognates,noun,government_politics,1845,1542,0.571,0.667,2,6,1.75,12,44.3,13.2,8.8,13.9,8.5
activation,activación,,cognates,noun,technology_tools,1906,1745,0.75,0.8,4,10,3.17,3,56.8,19.3,15.8,6.9,14.7
active,activo,,cognates,adjective,emotions_psychology,1902,1556,0.714,0.833,2,6,2.07,17,48.5,13.2,10.4,16.5,8.5
activism,activismo,,cognates,noun,values_ethics,1850,1646,0.875,0.889,4,8,3.33,1,52,19.3,16.6,4,12
activities,actividades,,cognates,noun,other,1400,1564,0.875,0.727,4,10,2.09,6,54.3,19.3,10.4,9.8,14.7
activity,actividad,,cognates,noun,other,1400,1545,0.714,0.667,4,8,2.14,6,51.8,19.3,10.7,9.8,12
actor,actor,,cognates,noun,arts_entertainment,1700,1545,1,1,2,5,2.35,2,36.6,13.2,11.7,5.7,6
actual,actual,Current/Present-day,false_friends,adjective,education_knowledge,1325,1500,1,1,3,6,2.15,5,44.8,16.6,10.8,8.9,8.5
actuator,actuador,,cognates,noun,technology_tools,1600,1874,0.857,0.875,4,8,4.23,1,56.5,19.3,21.2,4,12
acupressure,acupresión,,cognates,noun,health_medicine,1859,1893,0.7,0.636,3,11,4.97,1,61.4,16.6,24.9,4,15.9
acupuncture,acupuntura,,cognates,noun,health_medicine,1972,1789,0.875,0.818,4,11,3.96,1,59,19.3,19.8,4,15.9
adam,adam,,cognates,noun,religion_spirituality,1000,1754,1,1,2,4,2.43,3,32.3,13.2,12.1,6.9,0
adaptation,adaptación,,cognates,noun,nature_geography,1600,1573,0.667,0.8,4,10,2.99,3,55.9,19.3,15,6.9,14.7
additional,adicional,,cognates,adjective,language_communication,1400,1556,0.75,0.8,4,10,2.02,1,48.1,19.3,10.1,4,14.7
addressograph,adresógrafo,,cognates,noun,technology_tools,1890,1921,0.636,0.615,4,13,7,1,76.3,19.3,35,4,18
adduction,aducción,,cognates,noun,health_medicine,1325,1704,0.667,0.667,3,9,5.25,1,60.3,16.6,26.2,4,13.4
adhesion,adhesión,,cognates,noun,technology_tools,1400,1556,0.778,0.875,3,8,3.86,4,55.9,16.6,19.3,8,12
adiós,adiós,,loanword_es_to_en,noun,social,1738,1573,1,1,1,5,4.99,0,39.3,8.3,25,0,6
adiposity,adiposidad,,cognates,noun,health_medicine,1708,1745,0.75,0.7,4,9,5.11,1,62.3,19.3,25.6,4,13.4
adjunction,adjunción,,cognates,noun,language_communication,1500,1841,0.7,0.8,3,10,5.45,1,62.6,16.6,27.2,4,14.7
adjuvant,adyuvante,,cognates,noun,health_medicine,1508,1578,0.667,0.778,3,8,4.42,3,57.7,16.6,22.1,6.9,12
administration,administración,,cognates,noun,government_politics,1300,1545,0.727,0.857,5,14,2.07,6,60.6,21.5,10.4,9.8,19
administrator,administrador,,cognates,noun,government_politics,1325,1556,1,0.923,5,13,2.93,3,61.1,21.5,14.6,6.9,18
admirable,admirable,,cognates,adjective,values_ethics,1325,1545,1,1,4,9,3.52,2,56,19.3,17.6,5.7,13.4
admiration,admiración,,cognates,noun,emotions_psychology,1325,1556,0.6,0.8,4,10,3.41,3,58,19.3,17.1,6.9,14.7
admission,admisión,,cognates,noun,education_knowledge,1792,1556,0.75,0.778,3,9,2.85,4,52.3,16.6,14.2,8,13.4
adobe,adobe,,loanword_es_to_en,noun,housing_architecture,1739,1594,1,1,3,5,3.47,2,45.6,16.6,17.4,5.7,6
adoption,adopción,,cognates,noun,family_kinship,1600,1556,0.667,0.75,3,8,2.83,3,49.7,16.6,14.2,6.9,12
adrenaline,adrenalina,,cognates,noun,health_medicine,1970,1711,1,0.9,4,10,3.48,1,55.4,19.3,17.4,4,14.7
adult,adulto,,cognates,noun,family_kinship,1929,1594,0.833,0.833,2,5,2.2,4,38.2,13.2,11,8,6
adultery,adulterio,,cognates,noun,values_ethics,1300,1562,0.7,0.778,4,8,3.59,1,53.3,19.3,17.9,4,12
advance,avance,,cognates,noun,other,1300,1556,0.833,0.857,2,7,2.35,20,53.2,13.2,11.7,17.9,10.4
adventure,aventura,,cognates,noun,emotions_psychology,1200,1542,0.875,0.778,3,9,2.54,3,49.7,16.6,12.7,6.9,13.4
advert,advertencia,Warning,false_friends,noun,economics_commerce,1796,1832,0.667,0.545,2,6,3.54,4,47.4,13.2,17.7,8,8.5
advice,aviso,Warning,false_friends,noun,values_ethics,1508,1832,0.375,0.5,2,6,2.12,1,36.3,13.2,10.6,4,8.5
adware,adware,,loanword_en_to_es,noun,technology_tools,2000,2001,1,1,2,6,4.83,0,45.8,13.2,24.1,0,8.5
adynamia,adinamia,,cognates,noun,health_medicine,1700,1745,0.833,0.875,2,8,7,1,64.2,13.2,35,4,12
aegis,égida,,cognates,noun,government_politics,1793,1659,0.429,0.2,2,5,3.94,2,44.5,13.2,19.7,5.7,6
aerobics,aerobic,,cognates,noun,sports_recreation,1980,1879,0.875,0.875,3,8,4.25,1,53.9,16.6,21.2,4,12
aerophagia,aerofagia,,cognates,noun,health_medicine,1890,1879,0.667,0.8,2,10,7,1,66.9,13.2,35,4,14.7
aeroplane,aeroplano,,cognates,noun,transportation,1860,1732,1,0.889,2,9,3.82,1,49.7,13.2,19.1,4,13.4
aerosol,aerosol,,cognates,noun,technology_tools,1920,1879,1,1,3,7,3.97,2,52.5,16.6,19.9,5.7,10.4
affair,affair,,loanword_en_to_es,noun,social,1300,1711,1,1,2,6,2.7,3,42.1,13.2,13.5,6.9,8.5
affectation,afectación,,cognates,noun,emotions_psychology,1500,1556,0.778,0.727,4,11,4.71,1,62.7,19.3,23.6,4,15.9
affluence,afluencia,influx,false_friends,noun,economics_commerce,1600,1545,0.875,0.667,3,9,4.26,1,55.4,16.6,21.3,4,13.4
afforestation,forestación,,cognates,noun,nature_geography,1508,1812,0.818,0.692,3,13,4.9,1,63.1,16.6,24.5,4,18
african,africano,,cognates,adjective,social,1815,1564,0.857,0.875,3,7,2.18,2,43.6,16.6,10.9,5.7,10.4
age,edad,,cognates,noun,time_calendar,1325,1542,0.5,0,1,3,1.68,8,28,8.3,8.4,11.3,0
agent,agente,,cognates,noun,social,1916,1556,1,0.833,2,5,2.19,6,39.9,13.2,11,9.8,6
aggregate,agregado,,cognates,noun,other,1400,1556,0.571,0.667,3,9,3.06,7,55.9,16.6,15.3,10.6,13.4
aggression,agresión,,cognates,noun,emotions_psychology,1714,1556,0.778,0.7,3,10,3.1,5,55.8,16.6,15.5,8.9,14.7
aggroup,agrupar,,cognates,noun,other,1608,1571,0.833,0.429,2,7,7,1,62.6,13.2,35,4,10.4
agility,agilidad,,cognates,noun,health_medicine,1325,1545,0.571,0.625,4,7,3.67,1,52.1,19.3,18.4,4,10.4
agitation,agitación,,cognates,noun,emotions_psychology,1828,1556,0.625,0.778,4,9,3.81,5,60.7,19.3,19.1,8.9,13.4
agnosticism,agnosticismo,,cognates,noun,religion_spirituality,1870,1571,1,0.917,4,11,4.64,2,64,19.3,23.2,5.7,15.9
agonist,agonista,,cognates,noun,emotions_psychology,1508,1659,1,0.875,3,7,4.17,4,55.9,16.6,20.9,8,10.4
agora,ágora,,cognates,noun,government_politics,1508,1591,0.8,0.8,3,5,4.28,3,51,16.6,21.4,6.9,6
agriculture,agricultura,,cognates,noun,economics_commerce,1796,1545,0.889,0.909,4,11,2.63,4,56.3,19.3,13.1,8,15.9
aid,ayuda,,cognates,noun,values_ethics,1400,1542,0.4,0.4,1,3,2.25,6,29.4,8.3,11.2,9.8,0
aikido,aikido,,cognates,noun,sports_recreation,1936,1967,1,1,2,6,4.33,1,47.3,13.2,21.6,4,8.5
aileron,alerón,,cognates,noun,transportation,1708,1761,0.625,0.714,3,7,4.87,1,55.4,16.6,24.4,4,10.4
air,aire,,cognates,noun,nature_geography,1300,1545,0.75,0.75,1,3,1.63,15,32,8.3,8.1,15.5,0
airbus,aerobús,,cognates,noun,transportation,1910,1903,0.444,0.571,2,6,3.67,1,44,13.2,18.4,4,8.5
alarm,alarma,,cognates,noun,technology_tools,1833,1556,1,0.833,2,5,2.72,6,42.6,13.2,13.6,9.8,6
alb,alba,,cognates,noun,religion_spirituality,1000,1564,1,0.75,1,3,4.38,1,34.2,8.3,21.9,4,0
albatross,albatros,,cognates,noun,nature_geography,1608,1833,1,0.889,3,9,4.1,2,56.2,16.6,20.5,5.7,13.4
alcazar,alcazaba,,cognates,noun,housing_architecture,1600,1780,0.667,0.75,3,7,4.86,1,55.3,16.6,24.3,4,10.4
alembic,alambique,,cognates,noun,technology_tools,1325,1569,0.667,0.556,2,7,5.23,1,53.7,13.2,26.2,4,10.4
alga,alga,,cognates,noun,nature_geography,1794,1562,1,1,2,4,4.67,1,40.5,13.2,23.4,4,0
algebra,álgebra,,cognates,noun,education_knowledge,1325,1756,0.857,0.857,3,7,3.23,1,47.2,16.6,16.1,4,10.4
algorism,algorismo,,cognates,noun,education_knowledge,1325,1800,1,0.889,3,8,7,2,69.3,16.6,35,5.7,12
algorithm,algoritmo,,cognates,noun,technology_tools,1508,1789,0.889,0.778,4,9,2.98,1,51.6,19.3,14.9,4,13.4
alidade,alidada,,cognates,noun,technology_tools,1325,1681,0.8,0.857,3,7,5.92,2,62.3,16.6,29.6,5.7,10.4
aliyah,aliyá,,cognates,noun,religion_spirituality,1850,1949,0.667,0.667,3,6,4.6,2,53.8,16.6,23,5.7,8.5
alkalinity,alcalinidad,,cognates,noun,technology_tools,1700,1745,0.444,0.636,5,10,4.68,1,63.6,21.5,23.4,4,14.7
alley,callejo,,cognates,noun,housing_architecture,1325,1778,0.429,0.571,2,5,3.13,2,40.5,13.2,15.6,5.7,6
alligator,alligator,,cognates,noun,nature_geography,1500,1820,1,1,4,9,3.68,3,58.1,19.3,18.4,6.9,13.4
allometry,alometría,,cognates,noun,education_knowledge,1910,1906,0.778,0.667,4,9,5.79,1,65.7,19.3,28.9,4,13.4
allopathy,alopatía,,cognates,noun,health_medicine,1836,1819,0.625,0.667,3,9,5.6,1,62.1,16.6,28,4,13.4
allopurinol,allopurinol,,cognates,noun,health_medicine,1960,1951,1,1,4,11,5.11,1,64.7,19.3,25.6,4,15.9
alpaca,alpaca,,loanword_es_to_en,noun,nature_geography,1600,1752,1,1,3,6,4.2,3,53,16.6,21,6.9,8.5
alpenstock,alpenstock,,cognates,noun,technology_tools,1820,1884,1,1,2,10,7,1,66.9,13.2,35,4,14.7
alphabet,alfabeto,,cognates,noun,language_communication,1944,1564,0.556,0.625,3,8,3.3,2,50.8,16.6,16.5,5.7,12
alpinism,alpinismo,,cognates,noun,sports_recreation,1870,1745,0.875,0.889,2,8,5.65,1,57.4,13.2,28.2,4,12
alprazolam,alprazolam,,cognates,noun,health_medicine,1970,1879,1,1,4,10,4.9,1,62.5,19.3,24.5,4,14.7
altar,altar,,cognates,noun,religion_spirituality,1000,1562,1,1,2,5,3.2,2,40.8,13.2,16,5.7,6
alteration,alteración,,cognates,noun,clothing_appearance,1901,1545,0.7,0.8,4,10,3.67,3,59.3,19.3,18.4,6.9,14.7
alternative,alternativa,,cognates,noun,other,1500,1545,1,0.909,4,11,2.29,4,54.6,19.3,11.4,8,15.9
alternator,alternador,,cognates,noun,technology_tools,1820,1704,0.875,0.9,4,10,4.17,1,58.9,19.3,20.9,4,14.7
altitude,altitud,,cognates,noun,nature_geography,1325,1564,0.857,0.875,3,8,3.08,3,51,16.6,15.4,6.9,12
alula,alula,,cognates,noun,nature_geography,1708,1740,1,1,2,5,5.57,2,52.7,13.2,27.9,5.7,6
ambages,ambages,,cognates,noun,language_communication,1325,1619,1,1,2,7,7,2,64.2,13.2,35,5.7,10.4
ambidexterity,ambidiestro,,cognates,noun,health_medicine,1508,1733,0.667,0.538,5,13,5.68,1,71.9,21.5,28.4,4,18
ambit,ámbito,,cognates,noun,government_politics,1500,1564,0.571,0.667,2,5,4.55,1,45.9,13.2,22.8,4,6
ambitious,ambicioso,,cognates,adjective,emotions_psychology,1751,1556,0.667,0.667,3,9,3.05,2,51,16.6,15.2,5.7,13.4
ambulance,ambulancia,,cognates,noun,health_medicine,1800,1659,0.778,0.8,3,9,2.94,1,48.8,16.6,14.7,4,13.4
ambulation,ambulación,,cognates,noun,health_medicine,1500,1791,0.636,0.8,4,10,5.33,1,64.7,19.3,26.6,4,14.7
american,americano,Person from the American continents,false_friends,adjective,social,1708,1598,0.875,0.889,4,8,1.51,5,47.8,19.3,7.5,8.9,12
amigo,amigo,,loanword_es_to_en,noun,social,1837,1545,1,1,3,5,4.14,1,47.3,16.6,20.7,4,6
ammunition,munición,,cognates,noun,technology_tools,1508,1556,0.444,0.6,4,10,3.09,3,56.4,19.3,15.4,6.9,14.7
amnios,amnio,,cognates,noun,health_medicine,1500,1736,0.833,0.833,2,6,7,2,62.3,13.2,35,5.7,8.5
amoralism,amoralismo,,cognates,noun,values_ethics,1890,1732,1,0.9,2,9,7,1,65.6,13.2,35,4,13.4
amoxicillin,amoxicilina,,cognates,noun,health_medicine,1970,1879,1,0.818,5,11,4.74,1,65.1,21.5,23.7,4,15.9
amphetamine,anfetamina,,cognates,noun,health_medicine,1930,1879,0.667,0.636,4,11,4.07,1,59.5,19.3,20.4,4,15.9
amplitude,amplitud,,cognates,noun,technology_tools,1500,1545,0.889,0.889,3,9,3.72,3,55.6,16.6,18.6,6.9,13.4
amputation,amputación,,cognates,noun,health_medicine,1910,1736,0.7,0.8,4,10,3.98,2,59.6,19.3,19.9,5.7,14.7
amulet,amuleto,,cognates,noun,religion_spirituality,1600,1740,0.857,0.857,3,6,4.01,1,49.2,16.6,20,4,8.5
anachronism,anacronismo,,cognates,noun,language_communication,1600,1659,0.889,0.818,5,11,4.47,3,66.7,21.5,22.4,6.9,15.9
anaconda,anaconda,,cognates,noun,nature_geography,1768,1748,1,1,4,8,4.03,1,55.5,19.3,20.1,4,12
analgesic,analgésico,,cognates,adjective,health_medicine,1850,1866,0.7,0.8,4,9,4.32,2,60,19.3,21.6,5.7,13.4
analogy,analogía,,cognates,noun,education_knowledge,1325,1545,0.714,0.75,4,7,3.29,3,53.1,19.3,16.4,6.9,10.4
analyser,analizador,,cognates,noun,technology_tools,1600,1556,0.364,0.5,2,8,4.81,1,53.2,13.2,24.1,4,12
analysis,análisis,,cognates,noun,education_knowledge,1890,1545,0.714,0.75,4,8,2.09,6,51.6,19.3,10.4,9.8,12
anastylosis,anastilosis,,cognates,noun,housing_architecture,1930,1935,0.875,0.909,3,11,7,1,71.5,16.6,35,4,15.9
ancient,anciano,Elder,false_friends,noun,time_calendar,1350,1745,0.571,0.714,2,7,2.32,4,43.2,13.2,11.6,8,10.4
androgyny,androgyny,,cognates,noun,emotions_psychology,1850,1946,1,1,4,9,4.73,1,60.4,19.3,23.7,4,13.4
anemia,anemia,,cognates,noun,health_medicine,1824,1745,1,1,4,6,3.83,3,53.9,19.3,19.1,6.9,8.5
anemone,anémona,,cognates,noun,nature_geography,1773,1633,0.667,0.714,3,7,4.44,2,54.9,16.6,22.2,5.7,10.4
animal,animal,,cognates,noun,nature_geography,1600,1542,1,1,3,6,2.19,2,41.7,16.6,11,5.7,8.5
animation,animación,,cognates,noun,arts_entertainment,1912,1556,0.5,0.778,4,9,2.82,6,56.6,19.3,14.1,9.8,13.4
animism,animismo,,cognates,noun,religion_spirituality,1830,1618,0.833,0.875,4,7,4.86,1,58,19.3,24.3,4,10.4
annexation,anexión,,cognates,noun,government_politics,1325,1556,0.625,0.6,4,10,3.58,2,57.6,19.3,17.9,5.7,14.7
annihilation,aniquilación,,cognates,noun,other,1500,1564,0.364,0.583,5,12,3.78,2,63,21.5,18.9,5.7,17
anniversary,aniversario,,cognates,noun,time_calendar,1200,1564,0.778,0.727,5,11,2.47,1,53.7,21.5,12.3,4,15.9
annual,anual,,cognates,adjective,time_calendar,1400,1545,1,0.833,3,6,2.06,4,43.4,16.6,10.3,8,8.5
annulment,anulación,,cognates,noun,family_kinship,1325,1556,0.4,0.333,3,9,4.15,3,57.7,16.6,20.8,6.9,13.4
anorak,anorak,,cognates,noun,clothing_appearance,1870,1840,1,1,3,6,4.94,1,53.8,16.6,24.7,4,8.5
antelope,antílope,,cognates,noun,nature_geography,1325,1802,0.875,0.875,3,8,3.92,1,52.2,16.6,19.6,4,12
antenna,antena,,cognates,noun,technology_tools,1600,1562,1,0.857,3,7,3.23,3,50.1,16.6,16.1,6.9,10.4
antibiotic,antibiótico,,cognates,adjective,health_medicine,1889,1879,0.875,0.818,5,10,3.5,2,59.4,21.5,17.5,5.7,14.7
antiquity,antigüedad,,cognates,noun,time_calendar,1325,1545,0.364,0.4,4,9,3.57,3,57.5,19.3,17.8,6.9,13.4
antonym,antónimo,,cognates,noun,language_communication,1867,1840,0.625,0.625,1,7,5.05,1,48,8.3,25.2,4,10.4
anxiolytic,ansiolítico,,cognates,adjective,health_medicine,1960,1879,0.636,0.727,4,10,4.92,2,64.3,19.3,24.6,5.7,14.7
aphid,áfido,,cognates,noun,nature_geography,1849,1827,0.25,0.2,2,5,4.61,1,46.2,13.2,23,4,6
apiculture,apicultura,,cognates,noun,nature_geography,1859,1770,0.889,0.9,3,10,5.35,1,62.1,16.6,26.8,4,14.7
aplomb,aplomo,,cognates,noun,emotions_psychology,1820,1659,0.833,0.833,2,6,4.64,1,48.9,13.2,23.2,4,8.5
apology,apología,Defense/Eulogy,false_friends,noun,emotions_psychology,1530,1500,0.714,0.75,4,7,2.95,3,51.4,19.3,14.8,6.9,10.4
apostleship,apostolado,,cognates,noun,religion_spirituality,1400,1545,0.6,0.455,3,11,5.34,1,63.2,16.6,26.7,4,15.9
apparition,aparición,,cognates,noun,religion_spirituality,1325,1556,0.556,0.7,4,10,4.14,4,62.7,19.3,20.7,8,14.7
appearance,aparente,,cognates,noun,clothing_appearance,1751,1556,0.714,0.6,3,10,2.31,6,52.7,16.6,11.5,9.8,14.7
appendectomy,apendicectomía,,cognates,noun,health_medicine,1891,1879,0.75,0.643,5,12,4.69,1,65.9,21.5,23.4,4,17
appendicitis,apendicitis,,cognates,noun,health_medicine,1886,1578,1,0.917,4,12,4.24,1,61.5,19.3,21.2,4,17
appetite,apetito,,cognates,noun,food_cuisine,1300,1562,0.833,0.75,3,8,3.13,1,48.3,16.6,15.6,4,12
application,aplicación,,cognates,noun,technology_tools,1600,1556,0.667,0.727,4,11,2.14,7,56.5,19.3,10.7,10.6,15.9
appreciation,apreciación,,cognates,noun,emotions_psychology,1325,1556,0.7,0.75,5,12,2.88,5,61.8,21.5,14.4,8.9,17
apprehension,aprehensión,,cognates,noun,emotions_psychology,1325,1598,0.8,0.833,4,12,3.91,4,63.8,19.3,19.6,8,17
approximation,aproximación,,cognates,noun,education_knowledge,1789,1564,0.727,0.769,5,13,3.68,4,65.9,21.5,18.4,8,18
apricot,albaricoque,,cognates,noun,food_cuisine,1500,1753,0.417,0.455,3,7,4.02,3,54.1,16.6,20.1,6.9,10.4
aquamarine,aguamarina,,cognates,noun,other,1700,1770,0.667,0.8,4,10,4.49,2,62.1,19.3,22.5,5.7,14.7
aquaplaning,aquaplaning,,loanword_en_to_es,verb,transportation,1910,1947,1,1,3,11,5.54,2,65.9,16.6,27.7,5.7,15.9
arachnid,arácnido,,cognates,noun,nature_geography,1854,1856,0.667,0.625,3,8,4.69,1,56.1,16.6,23.4,4,12
arboriculture,arboricultura,,cognates,noun,nature_geography,1822,1800,0.9,0.923,4,13,5.2,1,67.3,19.3,26,4,18
archetype,archetype,,cognates,noun,education_knowledge,1600,1921,1,1,3,9,4.04,1,54.3,16.6,20.2,4,13.4
architecture,arquitectura,,cognates,noun,housing_architecture,1500,1545,0.778,0.75,4,12,2.58,4,57.2,19.3,12.9,8,17
area,área,,cognates,noun,nature_geography,1959,1562,0.75,0.75,3,4,1.54,6,34.1,16.6,7.7,9.8,0
arena,arena,Sand,false_friends,noun,sports_recreation,1600,1684,1,1,3,5,2.67,4,44,16.6,13.3,8,6
aristotelianism,aristotelismo,,cognates,noun,education_knowledge,1700,1640,0.9,0.733,3,15,5.36,1,67.3,16.6,26.8,4,19.9
arithmetic,aritmética,,cognates,adjective,education_knowledge,1325,1556,0.667,0.7,4,10,3.6,2,57.7,19.3,18,5.7,14.7
arm,arma,Gun,false_friends,noun,health_medicine,1000,1702,1,0.75,1,3,2.27,8,31,8.3,11.3,11.3,0
armada,armada,,loanword_es_to_en,noun,transportation,1500,1542,1,1,3,6,3.88,1,48.5,16.6,19.4,4,8.5
armadillo,armadillo,,loanword_es_to_en,noun,nature_geography,1300,1748,1,1,4,9,4.3,1,58.2,19.3,21.5,4,13.4
armageddon,armagedón,,cognates,noun,religion_spirituality,1811,1941,0.778,0.8,4,10,3.89,2,59.1,19.3,19.4,5.7,14.7
arras,arrás,,cognates,noun,housing_architecture,1325,1821,0.75,0.8,2,5,4.45,1,45.4,13.2,22.2,4,6
arroyo,arroyo,,loanword_es_to_en,noun,nature_geography,1845,1556,1,1,3,6,4.05,1,49.4,16.6,20.2,4,8.5
